ID,TITLE,ADDRESS,PHONE,FAX,EMAIL,TOLL_FREE,URL,DESCRIPTION,AREA,LONGITUDE,LATITUDE
66,Josh Tiessen Studio Gallery,"148 King Street, Stoney Creek, ON L8G 1L5",905-664-5049,,joshtiessen@bell.net,905-664-5049,www.joshtiessen.com,"Josh Tiessen is a young international award-winning artist from Stoney Creek, Ontario, Canada. Although I have experimented with a variety of subject matter, in my paintings I most frequently choose nature and wildlife, as I believe God created the world and I take delight in emphasizing its beauty, particularity and diversity. I especially enjoy unique angles on nature, animals and still life subjects. I am also fascinated by the weathering effects of nature and the elements on architectural structures as they age. The interaction between the natural world and manmade structures is of particular interest to me, often giving rise to metaphors which highlight truth, beauty and the longing for ultimate restoration in the world.",Art Galleries,-79.7469443000,43.2174132000
67,Julia Veenstra Studio,"167 James Street North, Hamilton, ON CA",905 906 3368,,veenstra@juliaveenstra.com,905 906 3368,http://juliaveenstra.com/,"Julia Veenstra is a Canadian artist who has lived in four different countries. Her work is found in collections around the world. She is an impressionistic representational, lively artist. Her work reflects her surroundings and translates how she sees the world. Julia's medium of choice is acrylic as she enjoys the immediacy and the bright colours.",Art Galleries,-79.8672833000,43.2610850000
68,Kelly Lowe Glass,"265 Barton Street, Stoney Creek, ON L8E 2K4",289-339-2450,,kelly@kellyloweglass.com,289-339-2450,www.kellyloweglass.com,"Based out of Hamilton Ontario, Kelly Lowe has risen to become one of the region's rising stars in the world of glass. If you watch award shows or if you've attended functions with custom built glass, chances are you've seen something designed or created by Kelly.",Art Galleries,-79.7302180000,43.2314156000
69,McMaster Museum of Art,"Alvin A. Lee Building, University Avenue, McMaster University 1280 Main St. W ",905-525-9140 ext. 23081,,museum@mcmaster.ca,905-525-9140 ext. 23081,www.mcmaster.ca/museum,"The museum houses McMaster University's significant collection of 6,000 works of art and presents changing public programmes. Highlights include the Herman H. Levy Collection of Impressionist and Post-Impressionist art.",Art Galleries,-79.9181255928,43.2626364730
70,Mixed Media,"154 James Street North, Hamilton, ON L8R 2K7",905-529-2323,,mixedmediahamilton@gmail.com,905-529-2323,www.mixedmediahamilton.com,"Mixed Media is Hamilton's only independent art shop. Specializing in art and printmaking supplies, specialty paper and stationery products. Mixed Media also features locally made gift items, greeting cards, books and magazines and a pretty cool art gallery. We strive to do things differently and creatively and hope to inspire a few bystanders along the way.",Art Galleries,-79.8671779000,43.2605986000
71,Picture Perfect Cake and Art,"369 King Street West, Dundas, ON L9H 1W9",905-627-3196,,info@pictureperfectcakeart.com,905-627-3196,www.pictureperfectcakeart.com,"Picture Perfect is a privately owned, home-based gallery, offering custom made wedding and special occasion cakes. We also have an art gallery of watercolour and oil paintings at reasonable prices. We offer custom framing services, including needlepoint and tapestry stetching. Watercolour and oil painting classes are also available. We are located in the picturesque Dundas Valley, nestled just beneath the Niagara Escarpment.",Art Galleries,-79.9711064000,43.2719285000
72,Sealed Art,"89 Gage Avenue South, Hamilton, ON L8M 3C8",905-549-1458,,sealedart@hotmail.com,905-549-1458,www.sealed-art.com,"family run business operation, we have been a presence in Hamilton for more then 30 years. Renowned for their customer service and quality workmanship they offer Custom Framing, Plaque Mount and Printing at competitive prices. Sealed Art is located at Gage Main in one of Hamilton's most unique buildings. Their work can be found Hanging in Art Gallerys, Hospitals, Offices, Restaurants and Homes all through Hamilton and The Golden Horseshoe.",Art Galleries,-79.8297261000,43.2451201000
73,Studio 205,"205 King St. E, Hamilton, ON CA",(905) 522-2205,,studio205canada@gmail.com,(905) 522-2205,https://www.facebook.com/Studio205Ham,Retailer of exclusively Canadian handmade products and artwork. We offer Canadian coffee and workshop classes,Art Galleries,-79.8631722000,43.2547585000
74,Sylvia Nickerson Illustration,"126 James St. N, Hamilton, ON L8R 2K7",905-522-5604 ,,sylvianickerson@gmail.com,905-522-5604 ,http://sylvianickerson.ca/,"Sylvia Nickerson is a local illustrator and artists. She has an art studio on James Street North and is part of the thriving Hamilton arts community. During the James Street North art crawl, you can visit Sylvia's studio and see her work.",Art Galleries,-79.8674019000,43.2600979000
75,TBA The Barber Atrium,"10 King Street West, Dundas, ON L9H 1T7",905-627-4265,,carnegie@carnegiegallery.org,905-627-4265,www.carnegiegallery.org,"The new TBA gallery. The light filled modern space is in the new atrium addition to the 100-year-old Carnegie Gallery. TBA's mission is- New Space, New Art.",Art Galleries,-79.9547440000,43.2660792000
76,Textures Craftworks,"236 Locke Street South, Hamilton, ON L8P 4B7",905-523-0636,,texturescraftworks@gmail.com,905-523-0636,http://texturescraftworksblog.blogspot.ca/,"Textures is an award-winning artisan collective located in Hamilton, ON at 236 Locke Street South. Open daily from 11 a.m. to 5 p.m. Textures has provided unique handmade one-of-a-kind items and gifts since 1983. Drop by or give us a call today.",Art Galleries,-79.8865705000,43.2533058000
77,The Arctic Experience McNaught Gallery,"191 James St., S., Hamilton, ON L8P 3A8",905-522-9443,,arctic.experience@gmail.com,905-522-9443,www.arcticexperience.com,"The gallery specializes in sculpture from Cape Dorset, Baffin Island in the new territory of Nunavut. Inuit sculpture has long been regarded as the truly uniquely Canadian art form, and Cape Dorset is home to some of the best artists working in the Canadian Arctic.",Art Galleries,-79.8712290000,43.2508665000
78,The Carnegie Gallery,"10 King St.W Dundas, ON L9H 1T7",905-627-4265,,carnegie@carnegiegallery.ca,905-627-4265,www.carnegiegallery.org,"The Carnegie is a non profit, charitable community organization. The best in local and regional fine art and craft is available in the shop and gallery. No entrance fee.",Art Galleries,-79.9547852928,43.2660589591
79,The Factory: Hamilton Media Arts Centre,"228 James St., N., Hamilton, ON L8R 2L3",905-577-9191,,info@hamiltonmediaarts.org,905-577-9191,http://factorymediacentre.ca/,"An artist-driven resource centre dedicated to the production and promotion of creatively diverse forms of independent films, videos, and other streaming multimedia art forms.",Art Galleries,-79.8663649000,43.2624843000
80,The Focus Gallery,"66 James Street North, Hamilton, ON L8R 2K5",,,contact@thefocusgallery.ca,,www.thefocusgallery.ca,Welcome to the Focus Gallery. Located in the Jamesville Art Community on Hamilton's historic James Street North. Within this space you will find some of the best original works of art to be seen anywhere. Step inside and be surrounded by inspiring and provocative works from some of the finest Artists from the surrounding area and beyond.,Art Galleries,-79.8679430000,43.2585143000
81,The Melanie Gillis Studio and Gallery,"126 James St. N 3rd Floor, Hamilton, ON L8R 2K7",905-297-7050,,,905-297-7050,www.melaniegillis.com,The Melanie Gillis Studio and Gallery is located in the heart of Hamilton's up and coming artist district of James Street North. The Studio is a warm and intimate setting tucked away on the third floor of a historic building on the East side of James.,Art Galleries,-79.8674019000,43.2600979000
82,The Nathaniel Hughson Art Gallery ,"27 John St North, Hamilton, ON L8R 1H1",905-923-1192 ,,info@nathanielhughsongallery.com,905-923-1192 ,www.nathanielhughsongallery.com,The Nathaniel Hughson Art Gallery on John Street North is dedicated to representing contemporary artists in their early and mid careers. Located in downtown Hamilton the gallery is a destination for visitors to the city who are looking for something unique to add to their collection,Art Galleries,-79.8664371000,43.2567193000
83,The Pearl Company Arts Centre,"16 Steven Street, Hamilton, ON L8L 5N3",905-524-0606,,barbaramilne@cogeco.ca,905-524-0606,www.thepearlcompany.ca,"The Pearl Company is an arts facility at 16 Steven Street, Hamilton. The first floor houses the Pearl Gallery. The second floor is a newly configured performance space for live music and theatre.",Art Galleries,-79.8516155000,43.2529226000
84,Tribal Gallery,"174 James St. N, Hamilton, ON L8R 2L1",905-385-1829,,,905-385-1829,,"Nomadic, tribal and ethnic jewellery and art.",Art Galleries,-79.8669753000,43.2611168000
167,Lakeland Centre,"180 Van Wagner's Beach Rd. Hamilton,ON",905-544-3951,,confed@conservationhamilton.ca,905-544-3951,www.conservationhamilton.ca,"On the shores of Lake Ontario feature a banquet hall for 130 guests, an outdoor public pool, a 30 foot viewing tower and Lakeland Bistro with healthy menu choices. ",Outdoors,-79.7698786932,43.2634259095
168,Mount Albion Conservation Area,60 Arbour Rd.,905-389-4550,,dvalley@conservationhamilton.ca,905-389-4550,www.conservationhamilton.ca,"One of the Hamilton Conservation Authority's two outdoor education sites, Mount Albion is a passive 41-hectare conservation area that features excellent wildlife observation opportunities.",Outdoors,-79.8297871753,43.1910201571
169,Outdoor Skating Rink at Pier 8,"47 Discovery Drive, Hamilton, ON L8L 8K4",905-523-4498,,information@hamiltonwaterfront.com,905-523-4498,http://www.hamiltonwaterfront.com/2011/11/01/hamilton-outdoor-ice-rink/,"Summertime roller skating, or wintertime ice skating. The Pier 8 Outdoor Recreational Skating Rink is a free rink open to the public. For those of you who do not have skates, they will be offering skate and helmet rentals.",Outdoors,-79.8608380000,43.2764873000
170,Pier 4 Park,"Bay Street North and Guise Street West, Hamilton, ON CA",905-546-2489,,,905-546-2489,www.hamilton.ca,"One of the most striking features of Pier 4 Park is the popular Bayport tugboat (c. 1945). The Bayport is oriented to provide children with a full view of the water and forms the centrepiece of a unique, interactive play area including water spray pad. A curved boardwalk with a pavilion and benches offers spectacular, panoramic views of the surrounding marinas and parkland, and a shoreline promenade allows access to the water's edge. The site is also a superb vantage point from which to enjoy water activities such as boating, windsurfing, and sailing.",Outdoors,-79.8641973000,43.2734739000
171,The Kitchen Garden at Dundurn,"610 York Boulevard, Hamilton, ON, L8H 3H1",905-546-2872,,dundurn@hamilton.ca,905-546-2872,http://www.hamilton.ca/dundurn,"The Kitchen Garden at Dundurn National Historic Site catered to the nutritional needs and aesthetic desires of the MacNab family 150 years ago. The authentically restored 2-acre Kitchen Garden, where 1850s tools and techniques are used to grow food for Dundurn Castle's historic kitchen, is open free to the public. Staff and volunteers wear period costumes as they work in the garden and interpretive programs offer opportunities to harvest food in the garden and prepare recipes in Dundurn's historic kitchen. Enjoy informative stories and gardening knowledge conveyed by costumed garden staff during free Historic Garden Tours each Saturday and Sunday in July and August from 12:30pm to 1:30pm and from 2pm to 3pm.",Outdoors,-79.8841848582,43.2694704664
172,Valens Conservation Area,"1691 Regional Road 97 (R.R. #6) Cambridge, ON",905-525-2183,,valens@conservationhamilton.ca,905-525-2183,http://www.conservationhamilton.ca/parks/visit/valens.asp,"Valens is a 300-hectare paradise for outdoor enthusiasts. Visitor's can enjoy a wide range of activities from camping in any season to fishing, hiking, swimming, wildlife observation and winter sports.",Outdoors,-80.1401959813,43.3831850768
173,Waterfront Wheels,"47 Discovery Drive, Hamilton, ON L8L 8K4",905-523-4498,,,905-523-4498,http://www.hamiltonwaterfront.com,"Rent a bike and explore the Hamilton Waterfront. Rates range from $ 6.00 to$ 30.00 per hour. We offer Children, Youth Adult,Tandem, Adult Trike and 1 and 2 bench Surrey Bicycles. All rentals require current photo I.D and deposit.",Outdoors,-79.8608380000,43.2764873000
174,Whitehern Historic Garden,"41 Jackson St. W Hamilton,ON L8P 1L3 (corner of Jackson & MacNab Streets) ",905-546-2018,,whitehern@hamilton.ca,905-546-2018,www.hamilton.ca/whitehern,"The elegant walled garden that surrounds Whitehern Historic House Garden, National Historic Site, features several 150-year-old pear and apricot trees and beautiful perennials. It was the pride of three generations of the McQuesten family who lived there. Designed in the 1920s by the prominent husband and wife landscape firm known as Dunington-Grubb, the signature ""sunken garden"" is a hidden oasis in the heart of the city. Bring your lunch and enjoy the stunning historic garden setting and all-you-can-drink tea or lemonade while listening to live music at Wednesdays at Whitehern in July and August from 12pm to 2pm.",Outdoors,-79.8720171068,43.2545846830
175,FirstOntario Centre,"101 York Boulevard, Hamilton, ON, L8R 3L4",905-546-3100,,hectemp@hamilton.ca,905-546-3100,http://www.coreentertainment.ca/FirstOntario-Centre/,"A sporting and entertainment venue of international calibre, Copps Coliseum seats 17,500 at full capacity.  An excellent concert venue, it has welcomed headlining acts from rock'n roll greats to operatic giants.  Copps has also served as a location for a number of premier movies. Featuring both NHL and international ice surfaces, Copps is home to a NHL farm team, the Hamilton Bulldogs.",Performing Arts,-79.8722720406,43.2590055771
176,Lyric Theatre Hamilton ,"434 King Street West, Hamilton, ON L8E 1B7",905-527-6135,,info@lyrichamilton.com,905-527-6135,https://www.facebook.com/LyricTheatreHamilton,"The Lyric presents and produces live performance featuring theatre, music, variety, spoken word and dance artists. It is conscious of preserving history while being the crucible for emerging and established artists and companies. Building on Hamilton's famed vaudeville history, The Lyric gives emerging talent a platform to learn and explore, and seasoned professionals an opportunity to grow and experiment.",Performing Arts,-79.8822630000,43.2606030000
177,Mills Hardware,"95 King Street East, Hamilton, ON CA",905-777-1223,,millshardwarehamilton@gmail.com,905-777-1223,http://millshardware.ca/,"A community-based performance space for art, theatre, dance, live music, speakers, and more. Mills Hardware has a 144 person capacity main room, complete with a stage, lighting, sound, projection, and a full service bar. The performance space can be used for art openings, book launches, live music performances, theatre, dance, readings, lectures, corporate meetings and functions, wedding receptions, yoga, and media events. You'll find that Mills Hardware is a unique space in Hamilton. It's a beautiful room with exposed brick and soaring ceilings. Acoustic treatments will leave the room with a full and rich sound.",Performing Arts,-79.8661710000,43.2557336000
85,True North Gallery/The Music Gallery,"23 Griffin Street, Waterdown, ON L0R 2H0","905 690 9397 x 230, 228",,fraser@waterdownarts.org,"905 690 9397 x 230, 228",http://truenorth.gallery/,"True North Gallery, also known as The Music Gallery of Fine Art, is the world's first fine art gallery dedicated to visual art by musicians, and artwork connected to the music experience.",Art Galleries,-79.8912336000,43.3332538000
86,Under the Moon,"170 James St N, Hamilton, ON CA",(905) 929-0029,,utm170@hotmail.com,(905) 929-0029,http://underthemoon.ca/,"Under the Moon Fine Arts offers antique and vintage hard cover books, historical and contemporary art, and selected items for home decor including antiques.",Art Galleries,-79.8669581000,43.2610179000
87,Whitehalls Gallery ,"40 Biggar Avenue, Hamilton, ON L8L 8A3",289-208-5913,,whitehallsgallery@cogeco.net,289-208-5913,www.whitehallsgallery.com,Paintings and Drawings by various Canadian and International artists.,Art Galleries,-79.8326944000,43.2601130000
88,you me gallery,"330 James St. N., Hamilton, ON L8L 1H3",905-523-7754,,info@youmegallery.com,905-523-7754,www.youmegallery.com/,"you me gallery is Bryce Kanbara's commercial and curatorial project on James Street North in Hamilton. The gallery focuses on Hamilton artists, Japanese Canadian artists, community art projects and collaborations.",Art Galleries,-79.8654431000,43.2646841000
89,African Lion Safari,"R.R. #1, 1386 Cooper Rd. Cambridge,ON N1R 5S2",519-623-2620 ,,admin@lionsafari.com,519-623-2620 ,http://www.lionsafari.com/,"Go ""On Safari!"" and get CLOSER than you ever imagined to over 1,000 exotic birds and animals that roam free in large Game Reserves! See lions, giraffe, rhino, and many more animals from around the world! ""Trek"" along 9 km of safari trail in your own vehicle or aboard a guided, air-conditioned Safari Tour Bus. Enjoy a full day of family fun! Open daily from May 7 to October 10, 2016",Attractions,-80.1824557772,43.3420980402
90,Friends of the Aviary,"85 Oak Knoll Drive, Hamilton, ON",905-546-4842,,info@friendsoftheaviary.ca,905-546-4842,www.friendsoftheaviary.ca,Parrots are on display in outdoor flights for visitors to enjoy.,Attractions,-79.9072838407,43.2657870293
91,Hamilton Harbour Queen,47 Discovery Drive,905-524-3311,,info@hamiltonharbourqueen.ca,905-524-3311,http://www.hamiltonharbourqueen.ca/,"Join the Captain and Crew of the Hamilton Harbour Queen on one of our cruises of Hamilton Harbour; one of North America's most noteworthy harbours. The Hamilton Harbour Queen offers comfort in the enclosed dining area, while providing for spectacular views. The upper boat deck provides a retractable canopy suitable for all weather conditions allowing for perfect viewing, socializing and seating for larger groups. Our venue is the ideal setting for group outings, birthdays, anniversaries, corporate events and charters.",Attractions,-79.8693182532,43.2729420693
92,Hamilton Waterfront Attractions,"47 Discovery Drive, Hamilton, ON L8L 8K4",905-523-4498,,information@hamiltonwaterfront.com,905-523-4498,www.hamiltonwaterfront.com,"Hamilton's Waterfront, sometimes bustling and sometimes serene depending on the hour, is a convenient escape just blocks from downtown Hamilton. If you're the type who enjoys a good walk, bike ride or roller blading, you'll love the west harbour and waterfront gems like Bayfront and Pier 4 Parks. Great trails, great places to picnic, some great sunset views and you can even go fishing. There's a public boat launch, 138-slip marina and the Hamilton Harbour Waterfront Trail is lined with trees, looking points, beaches and picnic areas. You can also connect to the water on board the 12-passenger Hamiltonian offering small groups sightseeing tours of the Western part of the harbour including a close-up look at the HMCS Haida.",Attractions,-79.8608380000,43.2764873000
93,Royal Botanical Gardens,"680 Plains Rd W Burlington,ON L7T 4H4",905-527-1158,,info@rbg.ca,905-527-1158,www.rbg.ca,"Take an exhilarating trip through nature's most beautiful work. Royal Botanical Gardens features five glorious gardens, a 30-kilometer trail system and four nature sanctuaries.",Attractions,-79.8765113625,43.2898714715
94,William J. McCallion Planetarium,"Department of Physics and Astronomy McMaster University 1280 Main St W Hamilton,ON L8S 4M1",905-525-9140 ext. 27777,,planetarium@physics.mcmaster.ca,905-525-9140 ext. 27777,www.physics.mcmaster.ca/planetarium,"Learn about planets, stars, galaxies, and other fascinating objects in our Universe, while stargazing in the Planetarium's night sky.",Attractions,-79.9201900632,43.2623724118
95,Baba Link Farm,"46 Huisman Lane, Flambourough, ON CA",905-690-7070,,babalinkfarm@gmail.com,905-690-7070,http://www.babalinkfarm.ca/,"Baba Link Farm has 3 orchards. Each orchard is an eclectic combination of trees, shrubs, herbs and other plants. Our farming practice includes permaculture, forest gardening, and native plants. Farm visits and sales by appointment only please.",Countryside,-79.9379850000,43.3686740000
96,Ancaster Farmer's Market ,"37 Halson St., Ancaster, ON L9G 2B8",289-239-7828,,marketmanager@shopancasterfarmersmarket.com,289-239-7828,http://www.ancasterfarmersmarket.com,"Seasonal, mid-June to Mid-October. Runs Wednesdays 3pm-7pm behind St. John's Anglican Church in downtown Ancaster.",Farmers' Market,-79.9779100000,43.2240840000
97,Binbrook Farmer's Market,"2600 Hwy 56, Binbrook, ON L0R 1C0",905-692-3543,,bfm@binbrookfair.org,905-692-3543,http://www.binbrookfair.org,"Runs from the first week of June to thanksgiving. (excluding Binbrook fair weekend- second weekend after labour day). 8am to 12 pm. Rain or shine. 905- 929-5751 or Binbrookfarmersmarket.weebly.com Follow us on Facebook, Binbrook farmers' market and Twitter Binbrook farmers.",Farmers' Market,-79.8038650000,43.1228430000
98,Dundas Farmer's Market,"11 Millers Lane, Dundas, ON CA",905-627-5880,,info@downtowndundas.ca,905-627-5880,www.downtowndundas.ca/dundas-farmers-market.php,"Seasonal, open mid-June to mid-october. Runs thursdays 3pm-7pm in the municipal parking lot at the corner of Hatt St and Millers Lane.",Farmers' Market,-79.9559077000,43.2659952000
99,Hamilton Farmers' Market,"55 York Boulevard, Hamilton, ON",905-546-2096,,farmersmarket@hamilton.ca,905-546-2096,http://www.hamilton.ca/farmersmarket,"One Hour Validated Parking at York Blvd Parkade.The Market has over 60 vendors with local and international products.Choose from quality meats, poultry, fish, eggs, deli, cheese, fresh pasta, produce, prepared foods, speciality, sauces and condiments plus artisans and flowers.The Hamilton Farmers' Market hosts a variety of free food and culture events, workshops, demonstrations and more for all ages and abilities.Visit www.hamiltonfarmersmarket.ca for details.",Farmers' Market,-79.8706159646,43.2591081101
100,Hamilton Mountain Farmer's Market,"19 Viewpoint Ave, Hamilton, ON L8V 2S4",905-745-9497,,,905-745-9497,http://www.concessionstreet.net/,"Seasonal, open May-November. Runs Saturdays 7am-1pm behind Sacred Heart Church.",Farmers' Market,-79.8482702000,43.2413311000
101,Locke Street Farmers' Market,"260 Locke Street South, Hamilton, ON L8P 4B9",289-339-8990,,lockestfarmersmarket@gmail.com,289-339-8990,lsfm.wordpress.com,"Locke Street Farmers' Market is your source for fresh, local, sustainably grown food straight from the farmer! Our seasonal market runs June through October on Saturdays from 9am to 1pm at the corner of Locke and Herkimer (in the Locke Street Tire Automotive parking lot). Our vendor list includes: Il Convento, Country Winds Farm, ManoRun Organic Farm, Richardson's Farm, Jerry's Berries, Harrington Lane Farms, La Primavera Farms, Foundry Ice Cream, Tawse Winery, Chanoki Cheese and Weir's Lane Lavender.",Farmers' Market,-79.8870939000,43.2526855000
102,McMaster University Farmers' Market,"1280 Main St. W, Hamilton, ON L8S 4L8 ",,,farmstand@msu.admin.mcmaster.ca,,http://www.msumcmaster.ca/farmstand/main.htm,"Seasonal, open June-November. Runs Wednesday Thursday 11:30am-3:00pm.",Farmers' Market,-79.9202861000,43.2622445000
103,Ottawa Street Farmers' Market,"204 Ottawa St., N., Hamilton, ON L8H 3Z5",905-297-5250,,tony@ShopOttawaStreet.com,905-297-5250,www.ottawastreetfarmers.com,"Outdoor market, open year-round. Runs Wednesdays and Saturdays 7am-3pm, Saturday-only in Winter months. The market operates in the municipal parking lots behind the Ottawa Street BIA office.",Farmers' Market,-79.8173259000,43.2481200000
104,Bennett's Apples & Cider Ltd.,"944 Garner Rd E Ancaster,ON L9G 3K9",905-648-6878,,bennettsapplesandcider@cogeco.ca,905-648-6878,http://bennettsapples.com/index.html,"A family owned farm market since 1911. We have our own grown apples, sweet apple cider, in store bakery, fresh fruits vegetalbes much more all year round.",Farms,-79.9398592982,43.2082125651
105,Bogle Seeds,"572 Safari Rd. Flamborough, ON L8N 2Z7",905-689-4073,,,905-689-4073,http://bogleseeds.ca/,"A sixth generation family farm business, offering wild bird seed mixes, sunflower seed, horse oats, chicken scratch, duck, goose, and sheep mix, cleaned whole and cracked corn, bird feeders, Nyjer and Finch mixes, safflower and peanuts. Be sure and come out to visit our country farm and experience our quiet country setting.",Farms,-79.9941406972,43.3645028322
106,Bridgman's Farm ,"20 Bridgman Lane, Winona, ON L8E 5K9",905-643-1506,,,905-643-1506,,"Pick your own fresh fruit on our 200-year old family farm. Quiet, accessible location, just off highway 8, east of Fifty Rd. Sweet and sour cherries, peaches, plums, nectarines, apples, pears. Please call for farm report.",Farms,-79.6349230000,43.2083820000
107,C & W Struyk Farms,"1960 4th Concession W, Troy, ON L0R 2B0",519-647-2028,,,519-647-2028,http://www.struykfarm.ca,Fruits and vegetables picked fresh daily at the barn or pick your own and select vegetables!,Farms,-80.1490900000,43.2862680000
108,Carluke Orchards,"2194 Shaver Rd. S Ancaster,ON L9G 3L1",905-648-2775,,al@carlukeorchards.ca,905-648-2775,www.carlukeorchards.ca,"Carluke Orchards is a family owned farm and business featuring only the very best in local products and baking. Bring the family for a great day in the country, be it apple picking in the fall, or our Carluke Country Christmas or every day for the best of everything!",Farms,-79.9961945699,43.1417962009
109,Cranston Farms,"37 Carluke Rd E RR #2 Ancaster, ON L9G 3L1",905-648-0176,,info@cranstonfarm.com,905-648-0176,https://www.facebook.com/CranstonFarms,"Our sweet corn is picked fresh for you every morning. We grow over 19 varieties of yellow, white bi-colour (peaches cream) sweet corn throughout the season. There are usually 2-3 varieties available each day at our Sweet Corn Deli. We also offer a full line of seasonal fruits and vegetables and fresh cut gladiolus. Home of the Cranston Clydesdales, wagon rides can be booked for a summer evening or weekend. Sleigh rides in the winter.",Farms,-79.9639094357,43.1521249581
110,Drummond Farms / Belevedere Orchards ,"69 5th Concession E, Waterdown, ON L0R 2H1",905-689-4724,,drummond@primus.ca,905-689-4724,noneavailable.com,"Features an on-farm market, hand picked and hand packed fruits and vegetables, and almost twenty varieties of apples.",Farms,-79.9381870000,43.3353270000
111,Dyment's Farm Market and Pumpkin Patch,"P.O. Box 62 R.R. #2 Dundas,ON L9H 5E2 ",905-627-5477,,bdyment@sympatico.ca,905-627-5477,www.dyments.com,"Welcome to Glen Drummond farm, home to the Dyment family since 1887. We hope you will find the time to visit us at one of our many events that will take place this year. Whether you have a special event to celebrate or are just looking for a wonderful day in the country we offer spectacular scenery, yummy foods and ""˜farmtastic' fun for the whole family.",Farms,-79.9498476734,43.2821986587
112,Fenwood Farm,"774 Sawmill Road, Ancaster, ON L9G 3L1",905-765-1479,,store@fenwoodfarm.com,905-765-1479,www.fenwoodfarm.com,"'Certified Organic'. We raise: certified organic chicken, free-range turkey, naturally-raised drug free beef, free fun and drug free eggs. We also sell: Mapleton's organic ice cream and frozen yogurt, wild caught seafood, natural pork and farm raised venison. Visit the farm and say hello to our feathered friends, the emus!",Farms,-80.0075592000,43.1328187000
113,Fletcher's Fruit Farm,"1040 Fletcher Rd., Binbrook, ON L0R 1C0",905-692-3012,,fletcherfruitfarm@live.ca,905-692-3012,http://fletcherfruitfarms.farmvisit.com/,"'Since 1866! Proud growers of over 20 varieties of high quality apples 8 varieties of high quality pears.' Open Nov - May. Monday to Thursday 8 to 5. Garm gate sales. Products also available at Ottawa Street Farmers' Market. All fruit picked to perfection for best flavour goodness. Honey Crisp - available late September. Sweet pears from Bartlett to Flemish Beauty, Clapps, Anjou, Bosc - available all winter.",Farms,-79.8144087000,43.1602928000
114,Flowerhill Farm,"1950 Safari Rd. R.R #1, Cambridge, ON N1R 5S2 ""New City of Hamilton across from African Lion Safari""",519-621-3014,,flowerhill@bellnet.ca,519-621-3014,www.flowerhillfarm.ca,"Five unique show gardens, over 800 varieties of perennial flowers, ornamental grasses, fresh cut flowers, solar and wind-powered irrigation. May to October, Tuesdays to Saturdays, 10 am to 5 pm.",Farms,-80.1639249882,43.3375499975
115,Forthdale Farms Ltd,"1715 2nd Conc. West, Lynden, ON L0R 1T0",519-647-2716,,,519-647-2716,,"For locally picked strawberries, pick your own berries, baked goods and more.",Farms,-80.1354790000,43.2500537000
116,Frootogo Orchards,"573 Parkside Drive, Waterdown, ON L0R 2H1",905-689-1652,,frootogo@cogeco.ca,905-689-1652,www.frootogo.ca,"The Hekman family graciously invites you and your family to come out and enjoy a day of fun. It is apple picking at its best, fresh vegetables from our Frootogo market, lots of family fun activites including Frootogos' petting zoo, and take home treats, warm from Frootogos' bakery ovens.",Farms,-79.8781047000,43.3568428000
117,Fruitland Farms,"238 Jones Road, Winona, ON L0R 1L0",905-643-6802,,,905-643-6802,,"Fresh peaches, cherries, tomatoes and more.",Farms,-79.6914593000,43.2156456000
118,Hanes Corn Maze ,"1001 Hwy 5, Dundas, ON L9H 5E2",905-628-5280,,,905-628-5280,www.hanescornmaze.com,"Featuring The Tiny Bake Shop Bakery, filled with fresh baked goods daily. Also featuring, The Hanes Corn Maze, a Human Size Puzzle, carved into over 12 acres of 10' tall walls of Cornstalks! Find all the Checkpoints and solve the Puzzle. This is an event for all ages, bring the kids for help!",Farms,-80.0277017000,43.2878904000
119,Jerry's Berries Raspberry/ Lotsa Hostas,"21 Orkney Rd, Copetown, ON CA",519-647-2815,,lotsahostas.bargeman@gmail.com,519-647-2815,www.jerrysberries.ca,"Three acres of red raspberries, pick-your-own or pre-picked. We also have display gardens with lots of beautiful hostas.",Farms,-80.0868962000,43.2426200000
120,Josling Farms,"512 Concession Road 8 East, Carlisle, ON L0R 1H0",905-689-4054,,josling@bell.net,905-689-4054,,"Pick-your-own tomoatoes, peppers, onions, potatoes, eggplant, cabbage, and cauliflower.",Farms,-79.9444690000,43.3986126000
121,Josmar Acres Farm Market & Garden Centre,"568 Lynden Road, Lynden, ON L0R 1T0",519-647-2025,,josmaracres@bell.net,519-647-2025,www.josmaracres.com,"Home grown apples (30 plus varieties), strawberries, everbearing strawberries, raspberries, pears, plums, sweet corn, cucumbers, potatoes, tomatoes, gourds, pumpkins, glads, annuals, perennials more. Our more maply syrup and fresh brown eggs! Other local fruits, vegetables, apple cider and honey available. PYO strawberries raspberries! Natural fertilizers used. Retail wholesale sales.",Farms,-80.1406290000,43.2166860000
122,Lindley's Farm & Market,"900 Fiddlers Green Rd. Ancaster,ON L9G 3L1",905-648-8489,,info@lindleyfarm.com,905-648-8489,www.lindleyfarm.com,"Lindley's Farm Market is located in the picturesque countryside of Ancaster, Ontario. We welcome you to stop at our Farm Market and in take in the view that overlooks our trout pond and pick your own fruit fields. Come and experience our biologically diverse farm.",Farms,-79.9792998469,43.1887128312
